"Population by Five Years Age Group","Number"
"0-4",""
"Female","1694"
"Male","1782"
"10-14",""
"Female","2019"
"Male","2002"
"15-19",""
"Female","1850"
"Male","1625"
"20-24",""
"Female","1684"
"Male","1465"
"25-29",""
"Female","1412"
"Male","1268"
"30-34",""
"Female","1179"
"Male","950"
"35-39",""
"Female","967"
"Male","800"
"40-44",""
"Female","863"
"Male","721"
"45-49",""
"Female","661"
"Male","540"
"50-54",""
"Female","534"
"Male","516"
"55-59",""
"Female","445"
"Male","434"
"5-9",""
"Female","2006"
"Male","2025"
"60-64",""
"Female","405"
"Male","396"
"65-69",""
"Female","269"
"Male","287"
"70-74",""
"Female","183"
"Male","201"
"75+",""
"Female","202"
"Male","198"
