"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","95"
"Male","72"
"Brahman - Hill",""
"Female","1744"
"Male","1431"
"Chhantyal/Chhantel",""
"Female","74"
"Male","67"
"Chhetri",""
"Female","2862"
"Male","2489"
"Dalit Others",""
"Female","31"
"Male","23"
"Damai/Dholi",""
"Female","539"
"Male","489"
"Gaine",""
"Female","12"
"Male","13"
"Gurung",""
"Female","221"
"Male","171"
"Kami",""
"Female","2476"
"Male","2052"
"Magar",""
"Female","7387"
"Male","6740"
"Majhi",""
"Female","65"
"Male","60"
"Newar",""
"Female","12"
"Male","14"
"Others",""
"Female","30"
"Male","21"
"Raji",""
"Female","14"
"Male","11"
"Sanyasi/Dasnami",""
"Female","72"
"Male","64"
"Sarki",""
"Female","204"
"Male","188"
"Tamang",""
"Female","12"
"Male","9"
"Terai Others",""
"Female","17"
"Male","8"
"Thakuri",""
"Female","263"
"Male","162"
"Thami",""
"Female","31"
"Male","27"
"Tharu",""
"Female","12"
"Male","11"
