"Population by Mother tongue","Number"
"Bantawa",""
"Female","174"
"Male","125"
"","299"
"Chamling",""
"Female","62"
"Male","69"
"","131"
"Gurung",""
"Female","151"
"Male","164"
"","315"
"Khaling",""
"Female","13"
"Male","9"
"","22"
"Limbu",""
"Female","1591"
"Male","1404"
"","2995"
"Magar",""
"Female","38"
"Male","29"
"","67"
"Nepali",""
"Female","3369"
"Male","3116"
"","6485"
"Newar",""
"Female","73"
"Male","56"
"","129"
"Not Reported",""
"Female","38"
"Male","39"
"","77"
"Others",""
"Female","18"
"Male","29"
"","47"
"Rai",""
"Female","340"
"Male","325"
"","665"
"Sampang",""
"Female","54"
"Male","39"
"","93"
"Sherpa",""
"Female","6"
"Male","5"
"","11"
"Sunuwar",""
"Female","9"
"Male","6"
"","15"
"Tamang",""
"Female","266"
"Male","255"
"","521"
"Yakkha",""
"Female","120"
"Male","107"
"","227"
