"Population by Religion","Number"
"Bahai","0"
"Bon","14"
"Buddism","10804"
"Christianity","971"
"Hindu","87669"
"Islam","785"
"Jainism","0"
"Kirat","2"
"Prakriti","39"
"Sikhism","0"
"Undefined","154"
"Total","100438"
