"Number of households by type of outer wall","Number"
"BambooWall","14089"
"Cement Bonded Bricks/Stone Wall","1961"
"Mud Bonded Bricks/Stone Wall","452"
"Not Stated about Wall","132"
"Other Type Wall","376"
"Unbaked Bricks","11"
"Wood/Planks","531"
"Total","17552"
