"Population by Single Year of Age","Number"
"0",""
"Female","857"
"Male","911"
"1",""
"Female","843"
"Male","876"
"10",""
"Female","1339"
"Male","1306"
"11",""
"Female","1096"
"Male","1141"
"12",""
"Female","1329"
"Male","1460"
"13",""
"Female","1238"
"Male","1269"
"14",""
"Female","1389"
"Male","1282"
"15",""
"Female","1284"
"Male","1208"
"16",""
"Female","1280"
"Male","1231"
"17",""
"Female","1261"
"Male","1203"
"18",""
"Female","1442"
"Male","1319"
"19",""
"Female","1030"
"Male","862"
"2",""
"Female","758"
"Male","855"
"20",""
"Female","1388"
"Male","1020"
"21",""
"Female","1063"
"Male","765"
"22",""
"Female","1467"
"Male","1006"
"23",""
"Female","1097"
"Male","762"
"24",""
"Female","1171"
"Male","801"
"25",""
"Female","1523"
"Male","953"
"26",""
"Female","1189"
"Male","888"
"27",""
"Female","1087"
"Male","886"
"28",""
"Female","1235"
"Male","948"
"29",""
"Female","697"
"Male","608"
"3",""
"Female","790"
"Male","820"
"30",""
"Female","1556"
"Male","1171"
"31",""
"Female","635"
"Male","552"
"32",""
"Female","1068"
"Male","858"
"33",""
"Female","696"
"Male","592"
"34",""
"Female","722"
"Male","659"
"35",""
"Female","1618"
"Male","1232"
"36",""
"Female","784"
"Male","663"
"37",""
"Female","561"
"Male","560"
"38",""
"Female","843"
"Male","740"
"39",""
"Female","498"
"Male","455"
"4",""
"Female","944"
"Male","949"
"40",""
"Female","1350"
"Male","1242"
"41",""
"Female","452"
"Male","491"
"42",""
"Female","645"
"Male","690"
"43",""
"Female","575"
"Male","473"
"44",""
"Female","442"
"Male","464"
"45",""
"Female","1082"
"Male","964"
"46",""
"Female","516"
"Male","500"
"47",""
"Female","379"
"Male","422"
"48",""
"Female","615"
"Male","561"
"49",""
"Female","348"
"Male","342"
"5",""
"Female","1037"
"Male","1051"
"50",""
"Female","1015"
"Male","934"
"51",""
"Female","312"
"Male","403"
"52",""
"Female","507"
"Male","541"
"53",""
"Female","387"
"Male","396"
"54",""
"Female","286"
"Male","343"
"55",""
"Female","701"
"Male","582"
"56",""
"Female","402"
"Male","433"
"57",""
"Female","340"
"Male","319"
"58",""
"Female","343"
"Male","362"
"59",""
"Female","233"
"Male","253"
"6",""
"Female","991"
"Male","1019"
"60",""
"Female","753"
"Male","725"
"61",""
"Female","260"
"Male","281"
"62",""
"Female","273"
"Male","271"
"63",""
"Female","208"
"Male","229"
"64",""
"Female","205"
"Male","244"
"65",""
"Female","435"
"Male","422"
"66",""
"Female","168"
"Male","183"
"67",""
"Female","216"
"Male","215"
"68",""
"Female","195"
"Male","293"
"69",""
"Female","106"
"Male","130"
"7",""
"Female","1183"
"Male","1200"
"70",""
"Female","383"
"Male","349"
"71",""
"Female","93"
"Male","129"
"72",""
"Female","159"
"Male","180"
"73",""
"Female","129"
"Male","140"
"74",""
"Female","71"
"Male","117"
"75",""
"Female","191"
"Male","218"
"76",""
"Female","87"
"Male","94"
"77",""
"Female","90"
"Male","98"
"78",""
"Female","127"
"Male","123"
"79",""
"Female","41"
"Male","60"
"8",""
"Female","1156"
"Male","1271"
"80",""
"Female","130"
"Male","95"
"81",""
"Female","41"
"Male","49"
"82",""
"Female","54"
"Male","51"
"83",""
"Female","45"
"Male","68"
"84",""
"Female","53"
"Male","55"
"85",""
"Female","236"
"Male","197"
"9",""
"Female","1025"
"Male","1065"
