"Number of households by type of outer wall","Number"
"BambooWall","11430"
"Cement Bonded Bricks/Stone Wall","11774"
"Mud Bonded Bricks/Stone Wall","377"
"Not stated","118"
"Others","365"
"Unbaked Bricks","20"
"Wood/Planks","1447"
"Total","25531"
