"Number of households by type of outer wall","Number"
"BambooWall","97"
"Cement Bonded Bricks/Stone Wall","5896"
"Mud Bonded Bricks/Stone Wall","5868"
"Not stated","50"
"Others","196"
"Unbaked Bricks","36"
"Wood/Planks","42"
"Total","12185"
