"Industries Types","Number"
"Accommodation and food","1306"
"Administrative and support service activity","17"
"Agriculture, forestry and fishing","481"
"Art, entertainment and recreation","8"
"Construction","9"
"Education","520"
"Electricty gas and water","11"
"Financial intermediation and insurance","192"
"Health and social work","293"
"Information and communications","22"
"Manufacturing","918"
"Mining and quarrying","0"
"Other service activities","425"
"Professional,scientific and techniqual activity","39"
"Real state, renting and business activities","0"
"Transport and storage","15"
"Water supply, wet management","23"
"Wholesale and retail trade","4422"
"Total","8701"
