"Population by Caste Ethinicity","Number"
"Badi",""
"Female","13"
"Male","9"
"","22"
"Brahman - Hill",""
"Female","2566"
"Male","2539"
"","5105"
"Chhetri",""
"Female","5204"
"Male","4492"
"","9696"
"Dalit Others",""
"Female","41"
"Male","35"
"","76"
"Damai/Dholi",""
"Female","422"
"Male","347"
"","769"
"Gurung",""
"Female","50"
"Male","31"
"","81"
"Kami",""
"Female","1093"
"Male","921"
"","2014"
"Limbu",""
"Female","6"
"Male","8"
"","14"
"Lohar",""
"Female","23"
"Male","19"
"","42"
"Magar",""
"Female","160"
"Male","210"
"","370"
"Musalman",""
"Female","6"
"Male","18"
"","24"
"Newar",""
"Female","531"
"Male","413"
"","944"
"Others",""
"Female","21"
"Male","21"
"","42"
"Rai",""
"Female","15"
"Male","18"
"","33"
"Sanyasi/Dasnami",""
"Female","47"
"Male","51"
"","98"
"Sarki",""
"Female","747"
"Male","601"
"","1348"
"Tamang",""
"Female","24"
"Male","30"
"","54"
"Thakuri",""
"Female","57"
"Male","71"
"","128"
"Tharu",""
"Female","24"
"Male","37"
"","61"
"Yadav",""
"Female","192"
"Male","132"
"","324"
