"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","2777"
"Mud Roof","351"
"Not Sated Roof","208"
"Other Type of Roof","342"
"RCC Roof","1667"
"Thatch/Straw Roof","3601"
"Tile/Slate Roof","17919"
"Wood/Planks Roof","158"
"Total","27023"
