"Population by Mother tongue","Number"
"Baitadeli",""
"Female","3"
"Male","17"
"","20"
"Baram",""
"Female","23"
"Male","5"
"","28"
"Bhojpuri",""
"Female","10"
"Male","10"
"","20"
"Doteli",""
"Female","70298"
"Male","60315"
"","130613"
"Hindi",""
"Female","11"
"Male","18"
"","29"
"Kham",""
"Female","131"
"Male","110"
"","241"
"Khamchi (Raute)",""
"Female","158"
"Male","178"
"","336"
"Magar",""
"Female","811"
"Male","781"
"","1592"
"Maithili",""
"Female","57"
"Male","80"
"","137"
"Nepali",""
"Female","3834"
"Male","3827"
"","7661"
"Newar",""
"Female","20"
"Male","19"
"","39"
"Others",""
"Female","82"
"Male","106"
"","188"
"Sherpa",""
"Female","11"
"Male","6"
"","17"
"Sign Language",""
"Female","11"
"Male","9"
"","20"
"Tharu",""
"Female","27"
"Male","36"
"","63"
