"Population by Caste Ethinicity","Number"
"Badi",""
"Female","127"
"Male","134"
"","261"
"Brahman - Hill",""
"Female","11725"
"Male","10573"
"","22298"
"Chamar/ Harijan/ Ram",""
"Female","9"
"Male","4"
"","13"
"Chhetri",""
"Female","40479"
"Male","35149"
"","75628"
"Dalit Others",""
"Female","141"
"Male","135"
"","276"
"Damai/Dholi",""
"Female","2823"
"Male","2473"
"","5296"
"Gurung",""
"Female","115"
"Male","91"
"","206"
"Hajam/Thakur",""
"Female","17"
"Male","12"
"","29"
"Kami",""
"Female","8218"
"Male","6672"
"","14890"
"Kumal",""
"Female","7"
"Male","7"
"","14"
"Limbu",""
"Female","21"
"Male","15"
"","36"
"Lohar",""
"Female","1216"
"Male","1012"
"","2228"
"Magar",""
"Female","2632"
"Male","2482"
"","5114"
"Musalman",""
"Female","13"
"Male","24"
"","37"
"Newar",""
"Female","670"
"Male","546"
"","1216"
"Others",""
"Female","148"
"Male","94"
"","242"
"Rai",""
"Female","31"
"Male","37"
"","68"
"Rajput",""
"Female","17"
"Male","11"
"","28"
"Raute",""
"Female","129"
"Male","140"
"","269"
"Sanyasi/Dasnami",""
"Female","1315"
"Male","1209"
"","2524"
"Sarki",""
"Female","3328"
"Male","2954"
"","6282"
"Sherpa",""
"Female","12"
"Male","5"
"","17"
"Tamang",""
"Female","24"
"Male","30"
"","54"
"Terai Others",""
"Female","11"
"Male","18"
"","29"
"Thakuri",""
"Female","2027"
"Male","1511"
"","3538"
"Tharu",""
"Female","40"
"Male","47"
"","87"
"Yadav",""
"Female","192"
"Male","132"
"","324"
