"Agricultural land use area","Hectare"
"Area under arable land","10232.00"
"Area under meadows and pasture","145.00"
"Area under permanent crops","291.00"
"Area under Temporary crops","9882.00"
"Area under temporary fallow","318.00"
"Area under temporary meadows","32.00"
"Other land","644.00"
"Ponds","1.00"
"Woodland and forest","304.00"
"Total","21849.00"
