"Industries Employment","Number"
"Accommodation,  food",""
"Female","321"
"Male","632"
"Administrative, support service",""
"Female","0"
"Male","36"
"Agriculture, forestry and  fishing",""
"Female","305"
"Male","462"
"Arts, entertainment, recreation",""
"Female","1"
"Male","5"
"Construction",""
"Female","0"
"Male","12"
"Education",""
"Female","1091"
"Male","3067"
"Electricity, gas and water",""
"Female","18"
"Male","182"
"Financial intermediation and insurance",""
"Female","67"
"Male","133"
"Health, social work",""
"Female","937"
"Male","416"
"Information and communication",""
"Female","7"
"Male","30"
"Manufacturing",""
"Female","452"
"Male","1431"
"Other service activities",""
"Female","355"
"Male","498"
"Professional, scientific, techniqual activity",""
"Female","9"
"Male","34"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","29"
"Male","100"
"Water supply, wet management",""
"Female","16"
"Male","39"
"Wholesale, retail trade",""
"Female","1475"
"Male","3282"
