"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","28"
"Male","26"
"","54"
"Doteli",""
"Female","7"
"Male","5"
"","12"
"Gurung",""
"Female","376"
"Male","421"
"","797"
"Hindi",""
"Female","14"
"Male","14"
"","28"
"Khaling",""
"Female","6"
"Male","7"
"","13"
"Limbu",""
"Female","7"
"Male","6"
"","13"
"Magahi",""
"Female","98"
"Male","89"
"","187"
"Magar",""
"Female","33"
"Male","37"
"","70"
"Maithili",""
"Female","8719"
"Male","9149"
"","17868"
"Malpande",""
"Female","20"
"Male","23"
"","43"
"Meche",""
"Female","32"
"Male","26"
"","58"
"Nepali",""
"Female","1616"
"Male","1555"
"","3171"
"Newar",""
"Female","20"
"Male","13"
"","33"
"Not Reported",""
"Female","95"
"Male","95"
"","190"
"Others",""
"Female","20"
"Male","13"
"","33"
"Pahari",""
"Female","9"
"Male","5"
"","14"
"Rai",""
"Female","17"
"Male","21"
"","38"
"Santhali",""
"Female","22"
"Male","19"
"","41"
"Sherpa",""
"Female","11"
"Male","8"
"","19"
"Sunuwar",""
"Female","7"
"Male","11"
"","18"
"Tamang",""
"Female","8"
"Male","6"
"","14"
"Tharu",""
"Female","3712"
"Male","3600"
"","7312"
"Uranw/Urau",""
"Female","80"
"Male","78"
"","158"
"Urdu",""
"Female","483"
"Male","482"
"","965"
"Yakkha",""
"Female","12"
"Male","17"
"","29"
