"Population by Five Years Age Group","Number"
"0-4",""
"Female","2215"
"Male","2350"
"10-14",""
"Female","1988"
"Male","2066"
"15-19",""
"Female","1551"
"Male","1492"
"20-24",""
"Female","1272"
"Male","1143"
"25-29",""
"Female","1123"
"Male","918"
"30-34",""
"Female","831"
"Male","728"
"35-39",""
"Female","769"
"Male","716"
"40-44",""
"Female","632"
"Male","601"
"45-49",""
"Female","503"
"Male","483"
"50-54",""
"Female","394"
"Male","426"
"55-59",""
"Female","342"
"Male","385"
"5-9",""
"Female","2305"
"Male","2392"
"60-64",""
"Female","366"
"Male","320"
"65-69",""
"Female","220"
"Male","220"
"70-74",""
"Female","129"
"Male","149"
"75+",""
"Female","111"
"Male","117"
