"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","19"
"Male","14"
"Brahman - Hill",""
"Female","2182"
"Male","2104"
"Chhetri",""
"Female","4888"
"Male","4695"
"Dalit Others",""
"Female","38"
"Male","48"
"Damai/Dholi",""
"Female","1035"
"Male","1034"
"Gurung",""
"Female","5"
"Male","10"
"Kami",""
"Female","3622"
"Male","3627"
"Magar",""
"Female","604"
"Male","640"
"Majhi",""
"Female","6"
"Male","5"
"Musalman",""
"Female","31"
"Male","29"
"Others",""
"Female","19"
"Male","10"
"Sanyasi/Dasnami",""
"Female","214"
"Male","204"
"Sarki",""
"Female","49"
"Male","57"
"Teli",""
"Female","12"
"Male","10"
"Thakuri",""
"Female","2012"
"Male","1990"
"Tharu",""
"Female","7"
"Male","7"
