"Population by Five Years Age Group","Number"
"0-4",""
"Female","943"
"Male","1055"
"10-14",""
"Female","1541"
"Male","1536"
"15-19",""
"Female","1512"
"Male","1428"
"20-24",""
"Female","1135"
"Male","741"
"25-29",""
"Female","1007"
"Male","578"
"30-34",""
"Female","835"
"Male","487"
"35-39",""
"Female","868"
"Male","479"
"40-44",""
"Female","735"
"Male","494"
"45-49",""
"Female","656"
"Male","480"
"50-54",""
"Female","592"
"Male","503"
"55-59",""
"Female","467"
"Male","408"
"5-9",""
"Female","1140"
"Male","1175"
"60-64",""
"Female","454"
"Male","423"
"65-69",""
"Female","349"
"Male","314"
"70-74",""
"Female","283"
"Male","281"
"75+",""
"Female","320"
"Male","346"
