"Number of households by type of outer wall","Number"
"BambooWall","63"
"Cement Bonded Bricks/Stone Wall","721"
"Mud Bonded Bricks/Stone Wall","4960"
"Not stated","31"
"Others","41"
"Unbaked Bricks","0"
"Wood/Planks","213"
"Total","6029"
