"Industries Types","Number"
"Accommodation and food","2643"
"Administrative and support service activity","43"
"Agriculture, forestry and fishing","736"
"Art, entertainment and recreation","48"
"Construction","13"
"Education","720"
"Electricty gas and water","31"
"Financial intermediation and insurance","497"
"Health and social work","398"
"Information and communications","44"
"Manufacturing","1914"
"Mining and quarrying","31"
"Other service activities","806"
"Professional,scientific and techniqual activity","89"
"Real state, renting and business activities","0"
"Transport and storage","40"
"Water supply, wet management","94"
"Wholesale and retail trade","6135"
"Total","14282"
