"Industries Employment","Number"
"Accommodation,  food",""
"Female","3155"
"Male","3780"
"Administrative, support service",""
"Female","28"
"Male","99"
"Agriculture, forestry and  fishing",""
"Female","811"
"Male","1437"
"Arts, entertainment, recreation",""
"Female","24"
"Male","72"
"Construction",""
"Female","36"
"Male","109"
"Education",""
"Female","4235"
"Male","5120"
"Electricity, gas and water",""
"Female","39"
"Male","160"
"Financial intermediation and insurance",""
"Female","3253"
"Male","4033"
"Health, social work",""
"Female","2075"
"Male","1402"
"Information and communication",""
"Female","101"
"Male","318"
"Manufacturing",""
"Female","2440"
"Male","5836"
"Other service activities",""
"Female","994"
"Male","1505"
"Professional, scientific, techniqual activity",""
"Female","39"
"Male","168"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","61"
"Male","140"
"Water supply, wet management",""
"Female","57"
"Male","249"
"Wholesale, retail trade",""
"Female","4544"
"Male","7634"
