"Number of households by type of outer wall","Number"
"BambooWall","5344"
"Cement Bonded Bricks/Stone Wall","1483"
"Mud Bonded Bricks/Stone Wall","129"
"Not Stated about Wall","25"
"Other Type Wall","123"
"Unbaked Bricks","4"
"Wood/Planks","290"
"Total","7398"
