"Population by Five Years Age Group","Number"
"0-4",""
"Female","9289"
"Male","9646"
"10-14",""
"Female","9813"
"Male","9791"
"15-19",""
"Female","6955"
"Male","6618"
"20-24",""
"Female","5185"
"Male","4225"
"25-29",""
"Female","4812"
"Male","4209"
"30-34",""
"Female","4088"
"Male","3404"
"35-39",""
"Female","3738"
"Male","3422"
"40-44",""
"Female","2997"
"Male","2812"
"45-49",""
"Female","2607"
"Male","2538"
"50-54",""
"Female","2122"
"Male","2162"
"55-59",""
"Female","1715"
"Male","1913"
"5-9",""
"Female","10343"
"Male","10319"
"60-64",""
"Female","1987"
"Male","1747"
"65-69",""
"Female","1456"
"Male","1307"
"70-74",""
"Female","1094"
"Male","891"
"75+",""
"Female","905"
"Male","802"
