"Agricultural land use area","Hectare"
"Area under arable land","7597.64"
"Area under meadows and pasture","671.17"
"Area under permanent crops","154.04"
"Area under Temporary crops","7341.39"
"Area under temporary fallow","178.75"
"Area under temporary meadows","77.50"
"Other land","390.04"
"Ponds","5.23"
"Woodland and forest","594.96"
