"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","9"
"Cow Dung","5"
"Electricity Fuel","65"
"KeroseneFuel","422"
"LP Gas","11902"
"Not Sated about Fuel","316"
"OthersFuel","63"
"Wood/FireWood","2148"
"Total","14930"
