"Population by Five Years Age Group","Number"
"0-4",""
"Female","1059"
"Male","1104"
"10-14",""
"Female","1767"
"Male","1795"
"15-19",""
"Female","1602"
"Male","1532"
"20-24",""
"Female","1227"
"Male","1026"
"25-29",""
"Female","1048"
"Male","830"
"30-34",""
"Female","802"
"Male","727"
"35-39",""
"Female","870"
"Male","719"
"40-44",""
"Female","822"
"Male","676"
"45-49",""
"Female","632"
"Male","657"
"50-54",""
"Female","541"
"Male","613"
"55-59",""
"Female","473"
"Male","544"
"5-9",""
"Female","1467"
"Male","1529"
"60-64",""
"Female","469"
"Male","434"
"65-69",""
"Female","342"
"Male","362"
"70-74",""
"Female","295"
"Male","301"
"75+",""
"Female","364"
"Male","331"
