"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","837"
"Male","734"
"Chhetri",""
"Female","3540"
"Male","3307"
"Dalit Others",""
"Female","7"
"Male","4"
"Damai/Dholi",""
"Female","192"
"Male","182"
"Ghale",""
"Female","13"
"Male","9"
"Gharti/Bhujel",""
"Female","107"
"Male","100"
"Gurung",""
"Female","234"
"Male","235"
"Hyolmo",""
"Female","17"
"Male","9"
"Jirel",""
"Female","38"
"Male","26"
"Kalwar",""
"Female","9"
"Male","11"
"Kami",""
"Female","510"
"Male","464"
"Magar",""
"Female","362"
"Male","320"
"Majhi",""
"Female","13"
"Male","12"
"Newar",""
"Female","1967"
"Male","1948"
"Others",""
"Female","42"
"Male","72"
"Rai",""
"Female","9"
"Male","7"
"Sanyasi/Dasnami",""
"Female","5"
"Male","8"
"Sarki",""
"Female","25"
"Male","28"
"Sherpa",""
"Female","718"
"Male","711"
"Tamang",""
"Female","4766"
"Male","4477"
"Teli",""
"Female","7"
"Male","23"
"Thami",""
"Female","213"
"Male","217"
