"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","2"
"Male","9"
"Gurung",""
"Female","10"
"Male","13"
"Hindi",""
"Female","3"
"Male","14"
"Hyolmo/Yholmo",""
"Female","10"
"Male","4"
"Maithili",""
"Female","24"
"Male","60"
"Nepali",""
"Female","7585"
"Male","7091"
"Newar",""
"Female","746"
"Male","739"
"Not Reported",""
"Female","9"
"Male","7"
"Others",""
"Female","24"
"Male","25"
"Sherpa",""
"Female","784"
"Male","782"
"Sign Language",""
"Female","4"
"Male","9"
"Tamang",""
"Female","4309"
"Male","4032"
"Thami",""
"Female","121"
"Male","119"
