"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","371"
"Cow Dung","4051"
"Electricity Fuel","4"
"KeroseneFuel","148"
"LP Gas","1594"
"Not Sated about Fuel","103"
"OthersFuel","41"
"Wood/FireWood","5782"
"Total","12094"
