"Population by Mother tongue","Number"
"Avadhi",""
"Female","24114"
"Male","24621"
"","48735"
"Bhojpuri",""
"Female","91"
"Male","95"
"","186"
"Doteli",""
"Female","55"
"Male","63"
"","118"
"Gurung",""
"Female","15"
"Male","15"
"","30"
"Hindi",""
"Female","52"
"Male","33"
"","85"
"Magar",""
"Female","332"
"Male","299"
"","631"
"Maithili",""
"Female","485"
"Male","520"
"","1005"
"Nepali",""
"Female","4419"
"Male","4042"
"","8461"
"Newar",""
"Female","131"
"Male","114"
"","245"
"Not Reported",""
"Female","60"
"Male","66"
"","126"
"Others",""
"Female","25"
"Male","16"
"","41"
"Punjabi",""
"Female","6"
"Male","6"
"","12"
"Rai",""
"Female","12"
"Male","11"
"","23"
"Tharu",""
"Female","1449"
"Male","1424"
"","2873"
"Uranw/Urau",""
"Female","18"
"Male","15"
"","33"
"Urdu",""
"Female","7036"
"Male","6735"
"","13771"
"Yakkha",""
"Female","9"
"Male","10"
"","19"
