"Industries Employment","Number"
"Accommodation,  food",""
"Female","1092"
"Male","2233"
"Administrative, support service",""
"Female","12"
"Male","240"
"Agriculture, forestry and  fishing",""
"Female","80"
"Male","470"
"Arts, entertainment, recreation",""
"Female","0"
"Male","43"
"Construction",""
"Female","7"
"Male","12"
"Education",""
"Female","2260"
"Male","3631"
"Electricity, gas and water",""
"Female","4"
"Male","115"
"Financial intermediation and insurance",""
"Female","962"
"Male","1668"
"Health, social work",""
"Female","308"
"Male","538"
"Information and communication",""
"Female","42"
"Male","174"
"Manufacturing",""
"Female","1248"
"Male","15082"
"Other service activities",""
"Female","1140"
"Male","1661"
"Professional, scientific, techniqual activity",""
"Female","10"
"Male","161"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","20"
"Male","314"
"Water supply, wet management",""
"Female","11"
"Male","87"
"Wholesale, retail trade",""
"Female","3249"
"Male","11845"
