"Agricultural land use area","Hectare"
"Area under arable land","103861.05"
"Area under meadows and pasture","140.55"
"Area under permanent crops","1222.39"
"Area under Temporary crops","103526.00"
"Area under temporary fallow","287.04"
"Area under temporary meadows","48.01"
"Other land","4249.67"
"Ponds","205.15"
"Woodland and forest","264.16"
