"Population by Five Years Age Group","Number"
"0-4",""
"Female","41727"
"Male","43414"
"10-14",""
"Female","56802"
"Male","59122"
"15-19",""
"Female","53307"
"Male","52848"
"20-24",""
"Female","48452"
"Male","37683"
"25-29",""
"Female","45155"
"Male","33785"
"30-34",""
"Female","38365"
"Male","30266"
"35-39",""
"Female","33967"
"Male","29477"
"40-44",""
"Female","29093"
"Male","26555"
"45-49",""
"Female","24344"
"Male","23623"
"50-54",""
"Female","20516"
"Male","20545"
"55-59",""
"Female","16586"
"Male","17293"
"5-9",""
"Female","50586"
"Male","52223"
"60-64",""
"Female","14426"
"Male","14525"
"65-69",""
"Female","10076"
"Male","10561"
"70-74",""
"Female","6694"
"Male","7011"
"75+",""
"Female","8562"
"Male","7781"
