"Population by Five Years Age Group","Number"
"0-4",""
"Female","1087"
"Male","1144"
"10-14",""
"Female","1340"
"Male","1305"
"15-19",""
"Female","1117"
"Male","903"
"20-24",""
"Female","980"
"Male","581"
"25-29",""
"Female","753"
"Male","390"
"30-34",""
"Female","595"
"Male","382"
"35-39",""
"Female","530"
"Male","348"
"40-44",""
"Female","486"
"Male","360"
"45-49",""
"Female","410"
"Male","341"
"50-54",""
"Female","342"
"Male","325"
"55-59",""
"Female","283"
"Male","280"
"5-9",""
"Female","1140"
"Male","1152"
"60-64",""
"Female","279"
"Male","248"
"65-69",""
"Female","207"
"Male","219"
"70-74",""
"Female","123"
"Male","110"
"75+",""
"Female","123"
"Male","103"
