"Agricultural land use area","Hectare"
"Area under arable land","66873.63"
"Area under meadows and pasture","183.74"
"Area under permanent crops","2524.36"
"Area under Temporary crops","66260.21"
"Area under temporary fallow","559.38"
"Area under temporary meadows","54.04"
"Other land","2325.87"
"Ponds","115.07"
"Woodland and forest","284.53"
