"Population by Single Year of Age","Number"
"0",""
"Female","6562"
"Male","6660"
"1",""
"Female","4836"
"Male","5300"
"10",""
"Female","15010"
"Male","16724"
"11",""
"Female","7584"
"Male","6587"
"12",""
"Female","12357"
"Male","13326"
"13",""
"Female","7365"
"Male","7541"
"14",""
"Female","8644"
"Male","9418"
"15",""
"Female","8660"
"Male","10194"
"16",""
"Female","7806"
"Male","9395"
"17",""
"Female","5127"
"Male","6306"
"18",""
"Female","8489"
"Male","10142"
"19",""
"Female","3818"
"Male","4228"
"2",""
"Female","8506"
"Male","8526"
"20",""
"Female","11647"
"Male","11534"
"21",""
"Female","3442"
"Male","3634"
"22",""
"Female","7959"
"Male","7083"
"23",""
"Female","3941"
"Male","3686"
"24",""
"Female","4664"
"Male","4195"
"25",""
"Female","14332"
"Male","10930"
"26",""
"Female","4145"
"Male","3853"
"27",""
"Female","3827"
"Male","3491"
"28",""
"Female","7552"
"Male","5560"
"29",""
"Female","1775"
"Male","2103"
"3",""
"Female","8777"
"Male","9115"
"30",""
"Female","16296"
"Male","11909"
"31",""
"Female","1241"
"Male","1399"
"32",""
"Female","6082"
"Male","4978"
"33",""
"Female","2114"
"Male","1674"
"34",""
"Female","2104"
"Male","1643"
"35",""
"Female","16127"
"Male","13133"
"36",""
"Female","2792"
"Male","2568"
"37",""
"Female","1900"
"Male","1796"
"38",""
"Female","4709"
"Male","3609"
"39",""
"Female","1167"
"Male","1186"
"4",""
"Female","8413"
"Male","8637"
"40",""
"Female","14252"
"Male","13332"
"41",""
"Female","818"
"Male","1075"
"42",""
"Female","3167"
"Male","3255"
"43",""
"Female","1219"
"Male","1004"
"44",""
"Female","1122"
"Male","1266"
"45",""
"Female","11474"
"Male","11426"
"46",""
"Female","1241"
"Male","1392"
"47",""
"Female","970"
"Male","1503"
"48",""
"Female","2761"
"Male","2409"
"49",""
"Female","731"
"Male","807"
"5",""
"Female","10885"
"Male","11791"
"50",""
"Female","9242"
"Male","10808"
"51",""
"Female","624"
"Male","825"
"52",""
"Female","1607"
"Male","1941"
"53",""
"Female","789"
"Male","869"
"54",""
"Female","686"
"Male","753"
"55",""
"Female","7259"
"Male","8108"
"56",""
"Female","822"
"Male","1163"
"57",""
"Female","650"
"Male","888"
"58",""
"Female","1861"
"Male","1713"
"59",""
"Female","528"
"Male","671"
"6",""
"Female","9285"
"Male","9666"
"60",""
"Female","7807"
"Male","8923"
"61",""
"Female","560"
"Male","743"
"62",""
"Female","1400"
"Male","1347"
"63",""
"Female","564"
"Male","476"
"64",""
"Female","424"
"Male","455"
"65",""
"Female","5156"
"Male","5578"
"66",""
"Female","459"
"Male","529"
"67",""
"Female","392"
"Male","431"
"68",""
"Female","832"
"Male","1174"
"69",""
"Female","197"
"Male","393"
"7",""
"Female","9087"
"Male","9494"
"70",""
"Female","3602"
"Male","4394"
"71",""
"Female","192"
"Male","284"
"72",""
"Female","497"
"Male","641"
"73",""
"Female","162"
"Male","215"
"74",""
"Female","116"
"Male","140"
"75",""
"Female","1697"
"Male","1750"
"76",""
"Female","87"
"Male","171"
"77",""
"Female","84"
"Male","152"
"78",""
"Female","240"
"Male","223"
"79",""
"Female","78"
"Male","118"
"8",""
"Female","12445"
"Male","13632"
"80",""
"Female","871"
"Male","894"
"81",""
"Female","40"
"Male","60"
"82",""
"Female","66"
"Male","54"
"83",""
"Female","24"
"Male","27"
"84",""
"Female","42"
"Male","47"
"85",""
"Female","864"
"Male","794"
"9",""
"Female","6491"
"Male","6671"
