"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","216"
"Male","232"
"Brahman - Hill",""
"Female","1230"
"Male","1211"
"Chhetri",""
"Female","8229"
"Male","7947"
"Damai/Dholi",""
"Female","804"
"Male","729"
"Gaine",""
"Female","27"
"Male","25"
"Kami",""
"Female","3880"
"Male","3704"
"Lohar",""
"Female","57"
"Male","61"
"Magar",""
"Female","1026"
"Male","1074"
"Others",""
"Female","19"
"Male","16"
"Sanyasi/Dasnami",""
"Female","665"
"Male","660"
"Sarki",""
"Female","621"
"Male","590"
"Thakuri",""
"Female","1167"
"Male","1105"
