"Number of households by type of outer wall","Number"
"BambooWall","4931"
"Cement Bonded Bricks/Stone Wall","738"
"Mud Bonded Bricks/Stone Wall","321"
"Not Stated about Wall","121"
"Other Type Wall","172"
"Unbaked Bricks","14"
"Wood/Planks","77"
"Total","6374"
