"Agricultural land use area","Hectare"
"Area under arable land","30623.00"
"Area under meadows and pasture","158.00"
"Area under permanent crops","253.00"
"Area under Temporary crops","30222.00"
"Area under temporary fallow","372.00"
"Area under temporary meadows","29.00"
"Other land","1394.00"
"Ponds","6.00"
"Woodland and forest","563.00"
"Total","63620.00"
