"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","43308"
"Mud Roof","4"
"Not Sated Roof","910"
"Other Type of Roof","60"
"RCC Roof","2273"
"Thatch/Straw Roof","2813"
"Tile/Slate Roof","9617"
"Wood/Planks Roof","209"
"Total","59194"
