"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","15"
"Christianity","3"
"Hindu","35169"
"Islam","19"
"Jainism","0"
"Kirat","1"
"Prakriti","0"
"Sikhism","0"
"Undefined","4"
"Total","35211"
