"Industries Types","Number"
"Accommodation and food","4839"
"Administrative and support service activity","157"
"Agriculture, forestry and fishing","585"
"Art, entertainment and recreation","65"
"Construction","24"
"Education","794"
"Electricty gas and water","8"
"Financial intermediation and insurance","442"
"Health and social work","405"
"Information and communications","78"
"Manufacturing","3462"
"Mining and quarrying","3"
"Other service activities","1814"
"Professional,scientific and techniqual activity","255"
"Real state, renting and business activities","6"
"Transport and storage","68"
"Water supply, wet management","72"
"Wholesale and retail trade","16160"
"Total","29237"
