"Industries Employment","Number"
"Accommodation,  food",""
"Female","6191"
"Male","8080"
"Administrative, support service",""
"Female","83"
"Male","409"
"Agriculture, forestry and  fishing",""
"Female","1080"
"Male","2613"
"Arts, entertainment, recreation",""
"Female","63"
"Male","170"
"Construction",""
"Female","26"
"Male","220"
"Education",""
"Female","5753"
"Male","7451"
"Electricity, gas and water",""
"Female","31"
"Male","184"
"Financial intermediation and insurance",""
"Female","1821"
"Male","2037"
"Health, social work",""
"Female","4281"
"Male","3203"
"Information and communication",""
"Female","246"
"Male","686"
"Manufacturing",""
"Female","5409"
"Male","12961"
"Other service activities",""
"Female","1400"
"Male","2353"
"Professional, scientific, techniqual activity",""
"Female","194"
"Male","629"
"Real estate, renting and business activity",""
"Female","5"
"Male","13"
"Transportation,  storage",""
"Female","86"
"Male","369"
"Water supply, wet management",""
"Female","115"
"Male","403"
"Wholesale, retail trade",""
"Female","14325"
"Male","21689"
