"Number of households by type of outer wall","Number"
"BambooWall","5202"
"Cement Bonded Bricks/Stone Wall","1961"
"Mud Bonded Bricks/Stone Wall","361"
"Not Stated about Wall","34"
"Other Type Wall","5"
"Unbaked Bricks","10"
"Wood/Planks","88"
"Total","7661"
