"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","6"
"Christianity","1"
"Hindu","34314"
"Islam","8002"
"Jainism","0"
"Kirat","1"
"Prakriti","6"
"Sikhism","0"
"Undefined","38"
"Total","42368"
