"Population by Single Year of Age","Number"
"0",""
"Female","755"
"Male","779"
"1",""
"Female","645"
"Male","666"
"10",""
"Female","1610"
"Male","1674"
"11",""
"Female","825"
"Male","818"
"12",""
"Female","1538"
"Male","1615"
"13",""
"Female","1024"
"Male","1048"
"14",""
"Female","1137"
"Male","1178"
"15",""
"Female","1133"
"Male","1217"
"16",""
"Female","1156"
"Male","1181"
"17",""
"Female","778"
"Male","759"
"18",""
"Female","1143"
"Male","1262"
"19",""
"Female","519"
"Male","553"
"2",""
"Female","923"
"Male","995"
"20",""
"Female","1315"
"Male","1124"
"21",""
"Female","484"
"Male","465"
"22",""
"Female","1064"
"Male","891"
"23",""
"Female","545"
"Male","478"
"24",""
"Female","624"
"Male","532"
"25",""
"Female","1727"
"Male","1222"
"26",""
"Female","557"
"Male","503"
"27",""
"Female","529"
"Male","475"
"28",""
"Female","922"
"Male","752"
"29",""
"Female","237"
"Male","232"
"3",""
"Female","1011"
"Male","1085"
"30",""
"Female","1847"
"Male","1428"
"31",""
"Female","173"
"Male","183"
"32",""
"Female","803"
"Male","672"
"33",""
"Female","277"
"Male","226"
"34",""
"Female","294"
"Male","208"
"35",""
"Female","1772"
"Male","1673"
"36",""
"Female","335"
"Male","361"
"37",""
"Female","261"
"Male","250"
"38",""
"Female","615"
"Male","481"
"39",""
"Female","150"
"Male","165"
"4",""
"Female","990"
"Male","1079"
"40",""
"Female","1626"
"Male","1547"
"41",""
"Female","99"
"Male","136"
"42",""
"Female","442"
"Male","462"
"43",""
"Female","205"
"Male","162"
"44",""
"Female","155"
"Male","137"
"45",""
"Female","1270"
"Male","1473"
"46",""
"Female","147"
"Male","163"
"47",""
"Female","117"
"Male","193"
"48",""
"Female","378"
"Male","328"
"49",""
"Female","89"
"Male","97"
"5",""
"Female","1257"
"Male","1419"
"50",""
"Female","1139"
"Male","1169"
"51",""
"Female","71"
"Male","114"
"52",""
"Female","213"
"Male","257"
"53",""
"Female","124"
"Male","102"
"54",""
"Female","87"
"Male","78"
"55",""
"Female","841"
"Male","992"
"56",""
"Female","133"
"Male","151"
"57",""
"Female","87"
"Male","118"
"58",""
"Female","247"
"Male","219"
"59",""
"Female","93"
"Male","100"
"6",""
"Female","1035"
"Male","1225"
"60",""
"Female","968"
"Male","924"
"61",""
"Female","78"
"Male","77"
"62",""
"Female","198"
"Male","180"
"63",""
"Female","78"
"Male","66"
"64",""
"Female","60"
"Male","57"
"65",""
"Female","601"
"Male","594"
"66",""
"Female","47"
"Male","68"
"67",""
"Female","59"
"Male","64"
"68",""
"Female","92"
"Male","164"
"69",""
"Female","24"
"Male","33"
"7",""
"Female","1192"
"Male","1234"
"70",""
"Female","417"
"Male","421"
"71",""
"Female","25"
"Male","31"
"72",""
"Female","67"
"Male","85"
"73",""
"Female","21"
"Male","23"
"74",""
"Female","16"
"Male","15"
"75",""
"Female","211"
"Male","189"
"76",""
"Female","19"
"Male","16"
"77",""
"Female","14"
"Male","11"
"78",""
"Female","24"
"Male","32"
"79",""
"Female","4"
"Male","12"
"8",""
"Female","1384"
"Male","1422"
"80",""
"Female","91"
"Male","94"
"81",""
"Female","2"
"Male","11"
"82",""
"Female","3"
"Male","15"
"83",""
"Female","4"
"Male","3"
"84",""
"Female","3"
"Male","6"
"85",""
"Female","94"
"Male","82"
"9",""
"Female","906"
"Male","964"
