"Number of households by type of outer wall","Number"
"BambooWall","10117"
"Cement Bonded Bricks/Stone Wall","5392"
"Mud Bonded Bricks/Stone Wall","782"
"Not stated","207"
"Others","53"
"Unbaked Bricks","24"
"Wood/Planks","607"
"Total","17182"
