"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","46"
"Cow Dung","6435"
"Electricity","4"
"Kerosene","174"
"LP Gas","1878"
"Not stated","132"
"Others","15"
"Wood/Firewood","8498"
"Total","17182"
