"Population by Religion","Number"
"Bahai","1"
"Bon","0"
"Buddism","1042"
"Christianity","530"
"Hindu","17242"
"Islam","1"
"Jainism","0"
"Kirat","0"
"Prakriti","5"
"Sikhism","0"
"Undefined","28"
"Total","18849"
