"Population by Mother tongue","Number"
"Avadhi",""
"Female","129"
"Male","145"
"Bhojpuri",""
"Female","521"
"Male","536"
"Chhantyal",""
"Female","9"
"Male","5"
"Gurung",""
"Female","125"
"Male","92"
"Hindi",""
"Female","30"
"Male","54"
"Magar",""
"Female","1894"
"Male","1496"
"Maithili",""
"Female","140"
"Male","160"
"Nepali",""
"Female","21862"
"Male","17856"
"Newar",""
"Female","332"
"Male","295"
"Others",""
"Female","18"
"Male","29"
"Rai",""
"Female","5"
"Male","6"
"Tamang",""
"Female","5"
"Male","6"
"Tharu",""
"Female","5208"
"Male","4831"
"Urdu",""
"Female","16"
"Male","17"
