"Number of households by type of outer wall","Number"
"BambooWall","748"
"Cement Bonded Bricks/Stone Wall","6516"
"Mud Bonded Bricks/Stone Wall","3553"
"Not stated","40"
"Others","620"
"Unbaked Bricks","200"
"Wood/Planks","715"
"Total","12392"
