"Population by Five Years Age Group","Number"
"0-4",""
"Female","431"
"Male","413"
"10-14",""
"Female","379"
"Male","394"
"15-19",""
"Female","310"
"Male","243"
"20-24",""
"Female","281"
"Male","215"
"25-29",""
"Female","276"
"Male","220"
"30-34",""
"Female","238"
"Male","218"
"35-39",""
"Female","253"
"Male","221"
"40-44",""
"Female","256"
"Male","220"
"45-49",""
"Female","213"
"Male","193"
"50-54",""
"Female","186"
"Male","181"
"55-59",""
"Female","130"
"Male","163"
"5-9",""
"Female","469"
"Male","477"
"60-64",""
"Female","165"
"Male","150"
"65-69",""
"Female","115"
"Male","114"
"70-74",""
"Female","80"
"Male","63"
"75+",""
"Female","80"
"Male","70"
