"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","876"
"Male","666"
"Chhetri",""
"Female","676"
"Male","507"
"Damai/Dholi",""
"Female","228"
"Male","201"
"Gharti/Bhujel",""
"Female","221"
"Male","191"
"Gurung",""
"Female","4643"
"Male","3973"
"Kami",""
"Female","980"
"Male","767"
"Magar",""
"Female","184"
"Male","155"
"Musalman",""
"Female","6"
"Male","6"
"Newar",""
"Female","140"
"Male","134"
"Others",""
"Female","23"
"Male","21"
"Rai",""
"Female","14"
"Male","8"
"Sanyasi/Dasnami",""
"Female","171"
"Male","140"
"Sarki",""
"Female","272"
"Male","260"
"Tamang",""
"Female","1481"
"Male","1308"
