"Population by Five Years Age Group","Number"
"0-4",""
"Female","791"
"Male","825"
"10-14",""
"Female","1156"
"Male","1143"
"15-19",""
"Female","1063"
"Male","966"
"20-24",""
"Female","823"
"Male","447"
"25-29",""
"Female","634"
"Male","323"
"30-34",""
"Female","543"
"Male","299"
"35-39",""
"Female","562"
"Male","352"
"40-44",""
"Female","629"
"Male","386"
"45-49",""
"Female","515"
"Male","446"
"50-54",""
"Female","544"
"Male","522"
"55-59",""
"Female","435"
"Male","408"
"5-9",""
"Female","923"
"Male","882"
"60-64",""
"Female","424"
"Male","415"
"65-69",""
"Female","245"
"Male","295"
"70-74",""
"Female","286"
"Male","245"
"75+",""
"Female","342"
"Male","383"
