"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","581"
"Male","476"
"Chhetri",""
"Female","48"
"Male","48"
"Damai/Dholi",""
"Female","129"
"Male","141"
"Gharti/Bhujel",""
"Female","106"
"Male","96"
"Gurung",""
"Female","3622"
"Male","2991"
"Kami",""
"Female","355"
"Male","281"
"Magar",""
"Female","133"
"Male","132"
"Newar",""
"Female","16"
"Male","20"
"Others",""
"Female","15"
"Male","13"
"Rai",""
"Female","11"
"Male","8"
"Sanyasi/Dasnami",""
"Female","58"
"Male","43"
"Sarki",""
"Female","62"
"Male","45"
"Tamang",""
"Female","819"
"Male","726"
