"Population by Single Year of Age","Number"
"0",""
"Female","86"
"Male","86"
"1",""
"Female","79"
"Male","88"
"10",""
"Female","155"
"Male","134"
"11",""
"Female","89"
"Male","103"
"12",""
"Female","167"
"Male","176"
"13",""
"Female","128"
"Male","117"
"14",""
"Female","137"
"Male","110"
"15",""
"Female","157"
"Male","147"
"16",""
"Female","136"
"Male","132"
"17",""
"Female","128"
"Male","123"
"18",""
"Female","133"
"Male","154"
"19",""
"Female","79"
"Male","67"
"2",""
"Female","115"
"Male","108"
"20",""
"Female","130"
"Male","103"
"21",""
"Female","86"
"Male","66"
"22",""
"Female","119"
"Male","63"
"23",""
"Female","80"
"Male","42"
"24",""
"Female","92"
"Male","33"
"25",""
"Female","121"
"Male","53"
"26",""
"Female","91"
"Male","43"
"27",""
"Female","62"
"Male","35"
"28",""
"Female","73"
"Male","57"
"29",""
"Female","46"
"Male","31"
"3",""
"Female","101"
"Male","85"
"30",""
"Female","117"
"Male","64"
"31",""
"Female","52"
"Male","26"
"32",""
"Female","66"
"Male","44"
"33",""
"Female","41"
"Male","18"
"34",""
"Female","42"
"Male","23"
"35",""
"Female","109"
"Male","47"
"36",""
"Female","57"
"Male","48"
"37",""
"Female","49"
"Male","30"
"38",""
"Female","65"
"Male","35"
"39",""
"Female","40"
"Male","25"
"4",""
"Female","79"
"Male","97"
"40",""
"Female","109"
"Male","75"
"41",""
"Female","54"
"Male","29"
"42",""
"Female","66"
"Male","43"
"43",""
"Female","44"
"Male","35"
"44",""
"Female","47"
"Male","34"
"45",""
"Female","106"
"Male","67"
"46",""
"Female","50"
"Male","30"
"47",""
"Female","47"
"Male","34"
"48",""
"Female","68"
"Male","46"
"49",""
"Female","63"
"Male","43"
"5",""
"Female","101"
"Male","99"
"50",""
"Female","124"
"Male","111"
"51",""
"Female","41"
"Male","37"
"52",""
"Female","61"
"Male","64"
"53",""
"Female","51"
"Male","47"
"54",""
"Female","44"
"Male","32"
"55",""
"Female","71"
"Male","64"
"56",""
"Female","40"
"Male","65"
"57",""
"Female","42"
"Male","42"
"58",""
"Female","51"
"Male","54"
"59",""
"Female","50"
"Male","33"
"6",""
"Female","110"
"Male","106"
"60",""
"Female","118"
"Male","110"
"61",""
"Female","45"
"Male","34"
"62",""
"Female","50"
"Male","42"
"63",""
"Female","40"
"Male","28"
"64",""
"Female","31"
"Male","37"
"65",""
"Female","66"
"Male","64"
"66",""
"Female","27"
"Male","28"
"67",""
"Female","30"
"Male","21"
"68",""
"Female","32"
"Male","46"
"69",""
"Female","37"
"Male","22"
"7",""
"Female","110"
"Male","97"
"70",""
"Female","67"
"Male","69"
"71",""
"Female","33"
"Male","30"
"72",""
"Female","39"
"Male","52"
"73",""
"Female","22"
"Male","29"
"74",""
"Female","15"
"Male","21"
"75",""
"Female","43"
"Male","54"
"76",""
"Female","20"
"Male","23"
"77",""
"Female","15"
"Male","25"
"78",""
"Female","12"
"Male","28"
"79",""
"Female","22"
"Male","14"
"8",""
"Female","110"
"Male","119"
"80",""
"Female","20"
"Male","24"
"81",""
"Female","15"
"Male","14"
"82",""
"Female","17"
"Male","16"
"83",""
"Female","13"
"Male","16"
"84",""
"Female","15"
"Male","18"
"85",""
"Female","57"
"Male","39"
"9",""
"Female","87"
"Male","97"
