"Population by Five Years Age Group","Number"
"0-4",""
"Female","1962"
"Male","2209"
"10-14",""
"Female","2778"
"Male","3047"
"15-19",""
"Female","3283"
"Male","3685"
"20-24",""
"Female","3708"
"Male","3519"
"25-29",""
"Female","3532"
"Male","2859"
"30-34",""
"Female","2950"
"Male","2824"
"35-39",""
"Female","2581"
"Male","2498"
"40-44",""
"Female","2036"
"Male","2257"
"45-49",""
"Female","1411"
"Male","1569"
"50-54",""
"Female","1233"
"Male","1244"
"55-59",""
"Female","886"
"Male","850"
"5-9",""
"Female","2323"
"Male","2620"
"60-64",""
"Female","779"
"Male","728"
"65-69",""
"Female","619"
"Male","531"
"70-74",""
"Female","467"
"Male","396"
"75+",""
"Female","693"
"Male","547"
