"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","9"
"Cow Dung","5"
"Electricity","65"
"Kerosene","422"
"LP Gas","11902"
"Not stated","316"
"Others","63"
"Wood/Firewood","2148"
"Total","14930"
