"Gross value added by industry (at current price)","Rs (,000)"
"Agriculture and forestry","145259100"
"Construction","61377700"
"Education","45612700"
"Electricty gas and water","12642704"
"Financial intermediation","123055908"
"Fishing","804021"
"Health and social work","12163800"
"Hotels and restaurants","24971000"
"Manufacturing","61097900"
"Mining and quarrying","6223068"
"Other community, social and personal service activities","33165100"
"Public administration and defence","14942300"
"Real estate, renting and business activities","225015326"
"Transport, storage and communications","107960800"
"Wholesale and retail trade","246729000"
"Total","1121020427"
