"Gross value added by industry (at constant price)","Rs (,000)"
"Agriculture and forestry","47115868"
"Construction","14399729"
"Education","13110150"
"Electricty gas and water","7137882"
"Financial intermediation","24637797"
"Fishing","315519"
"Health and social work","3295915"
"Hotels and restaurants","5912346"
"Manufacturing","20185328"
"Mining and quarrying","1447167"
"Other community, social and personal service activities","9087800"
"Public administration and defence","3003879"
"Real estate, renting and business activities","43542679"
"Transport, storage and communications","44275528"
"Wholesale and retail trade","73615816"
"Total","311083403"
