"Industries Types","Number"
"Accommodation and food","468"
"Administrative and support service activity","0"
"Agriculture, forestry and fishing","20"
"Art, entertainment and recreation","0"
"Construction","1"
"Education","142"
"Electricty gas and water","6"
"Financial intermediation and insurance","68"
"Health and social work","54"
"Information and communications","4"
"Manufacturing","100"
"Mining and quarrying","3"
"Other service activities","78"
"Professional,scientific and techniqual activity","3"
"Real state, renting and business activities","0"
"Transport and storage","9"
"Water supply, wet management","3"
"Wholesale and retail trade","823"
"Total","1782"
