"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","14"
"Male","7"
"Brahman - Hill",""
"Female","1183"
"Male","972"
"Chhetri",""
"Female","2808"
"Male","1946"
"Damai/Dholi",""
"Female","369"
"Male","277"
"Gaine",""
"Female","94"
"Male","89"
"Gharti/Bhujel",""
"Female","189"
"Male","129"
"Gurung",""
"Female","820"
"Male","681"
"Kami",""
"Female","1066"
"Male","738"
"Kumal",""
"Female","97"
"Male","64"
"Magar",""
"Female","4412"
"Male","3471"
"Marwadi",""
"Female","11"
"Male","7"
"Newar",""
"Female","247"
"Male","186"
"Others",""
"Female","9"
"Male","5"
"Sanyasi/Dasnami",""
"Female","62"
"Male","43"
"Sarki",""
"Female","1079"
"Male","834"
"Thakuri",""
"Female","267"
"Male","216"
