"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","16752"
"Christianity","2655"
"Hindu","19068"
"Islam","116"
"Jainism","0"
"Kirat","42"
"Prakriti","431"
"Sikhism","0"
"Undefined","58"
"Total","39122"
